year,recipient,sec_01_arms_transfer_tiv,sec_01_arms_transfer_tiv_delivered,sec_01_arms_transfer_orders_ct,sec_01_missing_transfer_tiv,sec_02_surveillance_usd,sec_02_surveillance_ct,sec_03_military_engagement_ct,sec_04_joint_exercise_ct,dev_02_infrastructure_usd,dev_02_infrastructure_ct,civ_02_healthcare_usd,civ_02_healthcare_ct,civ_03_outbound_visits_ct,civ_03_inbound_visits_ct,civ_03_total_visits_ct,civ_04_csps_ct,civ_05_judicial_engagement_ct,civ_06_ci_ct,civ_06_cc_ct,civ_06_ci_cc_ct,lat,lon
2023,Kazakhstan,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,48.1012954,66.7780818
2023,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,41.5089324,74.724091
2023,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,20.0171109,103.378253
2023,Malaysia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5693754,102.2656823
2023,Mongolia,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8250388,103.8499736
2023,Pakistan,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,30.3308401,71.247499
2023,Philippines,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5904492,120.9803621
2023,Russia,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,64.6863136,97.7453061
2023,Russia,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,64.6863136,97.7453061
2023,Tajikistan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,38.6281733,70.8156541
2023,Viet Nam,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,15.9266657,107.9650855
2023,Viet Nam,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,15.9266657,107.9650855
2024,Indonesia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-2.4833826,117.8902853
2024,Kazakhstan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,48.1012954,66.7780818
2024,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,41.5089324,74.724091
2024,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,41.5089324,74.724091
2024,Malaysia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5693754,102.2656823
2024,Pakistan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,30.3308401,71.247499
2024,Russia,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,64.6863136,97.7453061
2024,Tajikistan,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,38.6281733,70.8156541
2024,Viet Nam,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,15.9266657,107.9650855
2013,Mongolia,NA,NA,NA,NA,NA,NA,NA,1,95781245.66357367,2,NA,NA,0,1,1,0,NA,0,1,1,46.8250388,103.8499736
2019,Tajikistan,NA,NA,NA,NA,NA,NA,NA,1,356368180.96920705,6,NA,NA,1,1,2,0,1,1,1,2,38.6281733,70.8156541
2023,Afghanistan,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7680065,66.2385139
2023,Nepal,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3780464,83.9999901
2024,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0171109,103.378253
2024,Mongolia,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,46.8250388,103.8499736
2000,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,100576435.29833263,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2000,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,121385352.94626343,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
2000,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,1016902582.0787659,10,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
2000,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,21014587.234510183,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2000,Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,9537420.588634986,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
2000,Viet Nam,NA,NA,NA,NA,NA,NA,NA,NA,136653240.48948717,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15.9266657,107.9650855
2001,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,13594176.537154648,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-2.4833826,117.8902853
2001,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,115649133.2581181,2,98455898.48275179,1,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2001,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,98401370.79314633,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,14.5904492,120.9803621
2003,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,12513278.734402709,2,11854778.313689545,1,NA,NA,NA,0,NA,NA,NA,NA,33.7680065,66.2385139
2003,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,74225187.14711519,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2003,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2004,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,29302236.248204254,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,33.7680065,66.2385139
2004,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,408192891.04020196,1,254802.05433221036,2,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2005,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,134834664.461567,5,210346.55147722742,1,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2006,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2007,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,72228463.0189005,3,36231.22521443749,1,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2007,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,423475072.6732087,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,38.6281733,70.8156541
2008,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,8024602.564417745,3,1074503.8776860684,1,NA,NA,NA,0,NA,NA,NA,NA,33.7680065,66.2385139
2008,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,13872493174.377178,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,48.1012954,66.7780818
2008,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,188602089.91316873,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,41.5089324,74.724091
2009,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,37666899.93154991,3,14751703.733660754,1,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2010,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,6905139.31723658,1,NA,NA,0,0,0,0,NA,0,0,0,41.5089324,74.724091
2011,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,16622276.115490953,1,5503491.841917502,1,0,0,0,0,NA,0,0,0,33.7680065,66.2385139
2011,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,137460940.82838866,2,NA,NA,0,1,1,0,NA,0,1,1,46.8250388,103.8499736
2012,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,58297828.53903139,3,0,1,0,0,0,0,NA,0,0,0,40.3736611,127.0870417
2012,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,736596163.3907892,9,37685382.0198739,1,1,2,3,0,NA,1,2,3,41.5089324,74.724091
2012,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,2266625292.0266376,3,0,2,1,0,1,0,NA,1,0,1,28.3780464,83.9999901
2012,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,459724213.8234837,1,NA,NA,0,0,0,0,NA,0,0,0,14.5904492,120.9803621
2014,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,52578427.27997551,4,0,1,0,0,0,0,NA,0,0,0,40.3736611,127.0870417
2014,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,633869.1884354174,1,24770.256756384224,2,0,1,1,0,NA,0,1,1,28.3780464,83.9999901
2015,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,244357022.25277528,2,NA,NA,0,0,0,0,NA,0,0,0,4.4137155,114.5653908
2015,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,27365635.68255977,2,NA,NA,0,0,0,0,NA,0,0,0,40.3736611,127.0870417
2015,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,0,1,0,NA,1,0,1,14.5904492,120.9803621
2017,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,3931770818.097821,12,NA,NA,1,1,2,0,1,1,1,2,48.1012954,66.7780818
2018,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,0,1,1,1,NA,0,1,1,33.7680065,66.2385139
2018,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,2133635404.668759,5,NA,NA,1,0,1,0,NA,1,0,1,4.4137155,114.5653908
2018,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,476416841.2644207,33,63618.10530091382,2,1,1,2,0,NA,1,1,2,14.5904492,120.9803621
2020,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,141558266.8156909,2,1633042.653499112,8,NA,NA,NA,0,1,NA,NA,NA,48.1012954,66.7780818
2020,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,0,1,11655835.086612675,16,NA,NA,NA,0,1,NA,NA,NA,41.5089324,74.724091
2020,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,650536591.2728243,2,1754633.9326110382,15,NA,NA,NA,0,1,NA,NA,NA,46.8250388,103.8499736
2020,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,689674874.5124614,2,2918205.644482944,8,NA,NA,NA,0,1,NA,NA,NA,38.6281733,70.8156541
2021,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,684878.9583694115,2,34232369.32296428,4,NA,NA,NA,0,NA,NA,NA,NA,33.7680065,66.2385139
2021,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,242758958.92428917,1,NA,NA,NA,NA,NA,0,2,NA,NA,NA,48.1012954,66.7780818
2021,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,0,1,140705745.6066557,19,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2021,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,8725898.062716385,1,157834339.27623013,14,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
2001,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,679708.8268577335,1,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
2005,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97114.02554379785,2,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
2020,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5439003.952972484,9,NA,NA,NA,0,1,NA,NA,NA,33.7680065,66.2385139
2021,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21183795.60456378,2,NA,NA,NA,0,NA,NA,NA,NA,4.4137155,114.5653908
2021,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47212248.97923821,8,NA,NA,NA,0,2,NA,NA,NA,41.5089324,74.724091
1999,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,33.7680065,66.2385139
2000,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,33.7680065,66.2385139
2001,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,33.7680065,66.2385139
2009,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,33.7680065,66.2385139
2013,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,33.7680065,66.2385139
2019,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,33.7680065,66.2385139
1999,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2000,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2001,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2002,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2003,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2004,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2005,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2006,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2007,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2008,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2009,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2010,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,27.549511,90.5119273
2011,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,27.549511,90.5119273
2012,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,27.549511,90.5119273
2013,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,27.549511,90.5119273
2014,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,27.549511,90.5119273
2015,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,27.549511,90.5119273
2016,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,27.549511,90.5119273
2017,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,27.549511,90.5119273
2018,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,27.549511,90.5119273
2019,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,27.549511,90.5119273
2020,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
2021,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,27.549511,90.5119273
1999,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4137155,114.5653908
2000,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4137155,114.5653908
2001,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4137155,114.5653908
2006,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.4137155,114.5653908
2010,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,4.4137155,114.5653908
2011,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,NA,1,0,1,4.4137155,114.5653908
1999,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,22.3511148,78.6677428
2000,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,22.3511148,78.6677428
2017,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,2,0,1,1,22.3511148,78.6677428
2021,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,22.3511148,78.6677428
1999,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-2.4833826,117.8902853
2000,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-2.4833826,117.8902853
1999,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,36.5748441,139.2394179
2000,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.5748441,139.2394179
2001,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.5748441,139.2394179
2002,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.5748441,139.2394179
2013,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,36.5748441,139.2394179
2017,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,0,0,0,36.5748441,139.2394179
1999,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,48.1012954,66.7780818
2000,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,48.1012954,66.7780818
2001,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,48.1012954,66.7780818
1999,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,41.5089324,74.724091
2000,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,41.5089324,74.724091
1999,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
2001,Lao People's Democratic Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20.0171109,103.378253
1999,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2001,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2002,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
2004,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4.5693754,102.2656823
1999,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
2004,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
2006,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,46.8250388,103.8499736
1999,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,17.1750495,95.9999652
1999,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,28.3780464,83.9999901
1999,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3736611,127.0870417
2000,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3736611,127.0870417
2001,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3736611,127.0870417
2016,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,40.3736611,127.0870417
2017,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,40.3736611,127.0870417
2020,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,40.3736611,127.0870417
2021,Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,40.3736611,127.0870417
1999,Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,30.3308401,71.247499
1999,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14.5904492,120.9803621
2000,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,14.5904492,120.9803621
2014,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,0,1,1,14.5904492,120.9803621
1999,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,64.6863136,97.7453061
2000,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,64.6863136,97.7453061
2001,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,64.6863136,97.7453061
1999,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.638392,127.6961188
2000,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.638392,127.6961188
2001,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.638392,127.6961188
2010,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,NA,2,0,2,36.638392,127.6961188
2021,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.638392,127.6961188
1999,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,38.6281733,70.8156541
2000,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,38.6281733,70.8156541
2001,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,38.6281733,70.8156541
2004,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,38.6281733,70.8156541
1999,Viet Nam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15.9266657,107.9650855
2022,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4.4137155,114.5653908
2022,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,22.3511148,78.6677428
2022,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,22.3511148,78.6677428
2022,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,36.5748441,139.2394179
